03:28:19.308 [main] INFO  a.p.p.c.c.L.Task -   2. 💯 ⚡ U for N got 200 523,87 KiB [💿590,55 KiB] in 13.056s, fc:1 | 36/316/72/190/3909 | 1cbub82 | file:///tmp/ln/f485385cdf75d34164bf2eba804ef336.htm | https://www.amazon.com/Best-Sellers/zgbs -outLinkSelector a[href~=/dp/]
03:28:19.308 [main] INFO  a.p.p.c.c.L.Task - Log explanation: https://github.com/platonai/pulsarr/blob/master/docs/log-format.adoc
03:28:31.202 [r-worker-1] INFO  a.p.p.c.c.L.Task -   3. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/MedPride-Powder-Free-Nitrile-Gloves-Medium/dp/B00GS8W3T4/ref=zg-bs_industrial_sccl_1/143-1965694-3928365?pd_rd_w=nCUXL&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B00GS8W3T4&psc=1 -outLinkSelector a[href~=/dp/]
03:28:31.295 [r-worker-1] INFO  a.p.p.c.c.L.Task -  12. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/Fire-HD-10-tablet/dp/B08BX7FV5L/ref=zg-bs_pc_sccl_4/143-1965694-3928365?pd_rd_w=YGEjh&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B08BX7FV5L&psc=1 -outLinkSelector a[href~=/dp/]
03:28:31.764 [r-worker-1] INFO  a.p.p.c.c.L.Task -   7. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/RENPHO-Bluetooth-Bathroom-Composition-Smartphone/dp/B01N1UX8RW/ref=zg-bs_industrial_sccl_5/143-1965694-3928365?pd_rd_w=nCUXL&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B01N1UX8RW&psc=1 -outLinkSelector a[href~=/dp/]
03:28:31.947 [r-worker-1] INFO  a.p.p.c.c.L.Task -  21. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/Mighty-Patch-Hydrocolloid-Absorbing-count/dp/B074PVTPBW/ref=zg-bs_climate-pledge_sccl_1/143-1965694-3928365?pd_rd_w=13GnI&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B074PVTPBW&psc=1 -outLinkSelector a[href~=/dp/]
03:28:32.211 [r-worker-1] INFO  a.p.p.c.c.L.Task -  17. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/SHAPERX-Bodysuit-Shapewear-Sculpting-SZ5215-Black-S/dp/B0B1HR89H4/ref=zg-bs_fashion_sccl_3/143-1965694-3928365?pd_rd_w=NSnaA&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B0B1HR89H4&psc=1 -outLinkSelector a[href~=/dp/]
03:28:32.898 [r-worker-1] INFO  a.p.p.c.c.L.Task -  22. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/Amazon-Brand-Presto-308-Sheet-Ultra-Soft/dp/B074CRK54X/ref=zg-bs_climate-pledge_sccl_2/143-1965694-3928365?pd_rd_w=13GnI&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B074CRK54X&psc=1 -outLinkSelector a[href~=/dp/]
03:28:34.099 [r-worker-1] INFO  a.p.p.c.c.L.Task -  19. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1cbub82 | https://www.amazon.com/Hey-Dude-Womens-Wendy-Sparkling/dp/B07RSYJFF1/ref=zg-bs_fashion_sccl_5/143-1965694-3928365?pd_rd_w=NSnaA&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B07RSYJFF1&psc=1 -outLinkSelector a[href~=/dp/]
03:28:35.450 [r-worker-1] INFO  a.p.p.c.c.L.Task -   4. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/Command-Picture-Decorate-Damage-Free-PH206-14NA/dp/B073XR4X72/ref=zg-bs_industrial_sccl_2/143-1965694-3928365?pd_rd_w=nCUXL&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B073XR4X72&psc=1 -outLinkSelector a[href~=/dp/]
03:28:36.071 [r-worker-1] INFO  a.p.p.c.c.L.Task -  20. 🗙 Canceled 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 2h46dk2 | https://www.amazon.com/Gildan-Mens-T-Shirt-White-Large/dp/B077ZMKWVM/ref=zg-bs_fashion_sccl_6/143-1965694-3928365?pd_rd_w=NSnaA&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B077ZMKWVM&psc=1 -outLinkSelector a[href~=/dp/]
03:29:06.981 [main] INFO  a.p.p.c.c.L.Task -   3. 💯 💿 U  got 200 523,87 KiB [💿590,55 KiB] in 13.056s, last fetched 47s ago, fc:1 | 36/316/72/190/3909 | https://www.amazon.com/Best-Sellers/zgbs -outLinkSelector a[href~=/dp/]
03:29:06.982 [main] INFO  a.p.p.c.c.L.Task - Log explanation: https://github.com/platonai/pulsarr/blob/master/docs/log-format.adoc
03:29:19.949 [r-worker-4] INFO  a.p.p.c.c.L.Task -   8. 🗙 🗙 U for N got 0 0 <- 0 in 0s, fc:0 | 1PFu1H2 | https://www.amazon.com/RENPHO-Bluetooth-Bathroom-Composition-Smartphone/dp/B01N1UX8RW/ref=zg-bs_industrial_sccl_5/143-1965694-3928365?pd_rd_w=nCUXL&content-id=amzn1.sym.309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_p=309d45c5-3eba-4f62-9bb2-0acdcf0662e7&pf_rd_r=QRYX7AJPCHPRJCDSJCNQ&pd_rd_wg=ewhy2&pd_rd_r=4a97d03c-b99e-404b-83b4-2b2384d54cf8&pd_rd_i=B01N1UX8RW&psc=1 -outLinkSelector a[href~=/dp/]
